titles
Key features and applications
Download and installation
How to run a Python program
Fundamentals of Python
Indentation
Comments
Variables
Operators
Basics of Input/Output
Data types
Numeric
String
List
Tuple
Boolean
Set
Dictionary
Decision making
Control flow (Loops)
While and while-else loop
For and for-else loop
range() function
Indentation
Comments
Variables
Operators
Numeric
String
List
Tuple
Boolean
Set
Dictionary
While and while-else loop
For and for-else loop
range() function
Loop control statements
Break
Continue
pass
Functions
Function with arguments
Lambda functions
OOPS concept
Class and Objects
Constructors and Destructors
Inheritance
Encapsulation
Polymorphism
File Handling
Modules and Packages
Regular expressions
Exception handling
